X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
2.559,0.911,2.474,2.939,7.702,6.555,2.188,1.415,1.435,cross
0.96,0.152,0.427,0.146,0.72,0.3,0.221,0.143,0.248,cross
0.075,0.065,0.053,0.059,0.321,0.102,0.118,0.04,0.142,cross
1.935,0.944,1.737,2.613,7.94,6.281,2.043,1.623,1.376,cross
1.483,0.756,0.559,0.311,0.947,0.316,0.34,0.2,0.44,cross
0.206,0.205,0.056,0.088,0.145,0.112,0.106,0.053,0.026,cross
0.11,0.062,0.057,2.549,7.195,5.227,1.602,1.153,1.168,cross
2.666,1.047,2.275,0.566,1.635,1.296,0.845,0.31,0.77,cross
0.79,0.685,0.245,0.066,0.191,0.148,0.117,0.06,0.079,cross
0.043,0.058,0.032,1.109,2.305,2.952,1.071,0.508,0.796,cross
1.784,1.157,2.262,1.614,6.569,3.263,1.431,0.929,0.831,cross
1.486,0.464,0.724,0.074,0.268,0.102,0.107,0.056,0.183,cross
0.116,0.045,0.077,0.734,2.235,1.957,0.527,0.341,0.333,cross
0.321,0.1,0.07,2.962,6.547,3.688,2.061,1.103,1.259,cross
2.569,0.88,2.38,0.112,0.335,0.188,0.068,0.069,0.079,cross
0.88,0.397,0.322,0.053,0.205,0.126,0.078,0.04,0.081,cross
0.115,0.083,0.032,3.06,7.168,6.054,1.795,1.298,1.136,cross
1.761,1.016,1.997,0.466,1.198,0.5,0.426,0.35,0.585,cross
1.359,0.377,0.802,0.045,0.108,0.093,0.031,0.034,0.032,cross
,,,1.617,2.33,2.956,1.161,0.53,0.636,cross
