X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
1.2,6.228,2.572,2.661,4.113,3.197,0.467,2.426,1.092,right_nopunch
0.129,0.15,0.055,0.088,0.057,0.212,0.062,0.226,0.021,right_nopunch
0.023,0.039,0.021,5.913,4.3,3.83,1.078,4.7,1.893,right_nopunch
1.04,5.849,2.111,0.349,0.341,0.415,0.282,0.343,0.249,right_nopunch
0.366,0.254,0.09,0.452,0.414,0.388,0.088,0.767,0.191,right_nopunch
0.183,0.659,0.17,6.882,5.426,4.822,0.872,4.16,1.879,right_nopunch
1.208,4.866,3.024,0.074,0.157,0.202,0.048,0.071,0.038,right_nopunch
0.085,0.105,0.048,2.261,1.023,0.884,0.241,1.786,0.64,right_nopunch
0.276,1.548,0.735,5.553,4.498,4.857,0.923,3.133,1.648,right_nopunch
1.074,4.702,2.32,0.109,0.109,0.208,0.069,0.128,0.066,right_nopunch
0.079,0.073,0.042,5.588,6.372,4.686,0.97,4.826,2.317,right_nopunch
0.539,2.882,1.867,0.281,0.217,0.248,0.228,0.199,0.2,right_nopunch
0.74,3.094,1.3,0.122,0.097,0.18,0.053,0.333,0.073,right_nopunch
0.066,0.317,0.142,4.552,5.758,3.94,1.061,4.576,2.201,right_nopunch
1.103,5.765,2.885,0.203,0.312,0.29,0.104,0.301,0.199,right_nopunch
0.083,0.133,0.065,0.234,0.131,0.404,0.058,0.414,0.082,right_nopunch
0.035,0.071,0.037,6.169,4.821,4.835,1.166,4.554,1.954,right_nopunch
1.235,5.772,3.101,0.083,0.115,0.149,0.068,0.049,0.05,right_nopunch
0.184,0.269,0.057,3.936,5.167,4.152,0.94,3.035,1.243,right_nopunch
0.02,0.032,0.032,0.335,0.714,0.729,0.152,1.823,0.606,right_nopunch
0.72,3.095,1.898,4.982,5.164,4.127,0.655,2.573,1.074,right_nopunch
0.528,2.516,1.076,0.864,1.239,1.204,0.297,2.08,0.92,right_nopunch
0.028,0.068,0.059,0.209,0.087,0.272,0.043,0.26,0.087,right_nopunch
0.036,0.047,0.047,6.171,5.074,3.181,0.931,4.442,2.095,right_nopunch
0.883,5.386,2.669,0.112,0.128,0.191,0.066,0.079,0.047,right_nopunch
0.102,0.102,0.048,5.29,5.689,4.982,0.959,3.721,1.469,right_nopunch
0.012,0.025,0.018,0.263,0.371,0.712,0.101,1.204,0.446,right_nopunch
0.11,0.241,0.071,5.882,4.745,2.507,0.848,2.293,1.603,right_nopunch
1.066,5.667,3.106,0.445,0.746,0.794,0.385,2.114,0.907,right_nopunch
0.036,0.145,0.054,0.098,0.083,0.118,0.027,0.163,0.039,right_nopunch
0.024,0.079,0.041,4.255,5.828,3.724,1.005,4.374,2.43,right_nopunch
1.192,5.454,2.721,0.266,0.181,0.458,0.073,0.225,0.224,right_nopunch
0.048,0.097,0.07,5.34,4.959,3.074,0.813,2.415,1.683,right_nopunch
0.033,0.06,0.036,0.502,0.458,1.094,0.245,2.096,0.823,right_nopunch
0.865,5.472,2.893,0.131,0.052,0.131,0.029,0.179,0.057,right_nopunch
0.156,0.107,0.046,5.938,5.832,5.214,1.102,4.528,1.859,right_nopunch
0.028,0.056,0.013,0.214,0.154,0.294,0.146,0.359,0.304,right_nopunch
1.101,5.171,2.708,5.312,5.136,4.942,1.16,2.791,1.541,right_nopunch
0.057,0.094,0.046,0.604,0.958,0.988,0.409,2.084,0.957,right_nopunch
0.031,0.055,0.017,0.125,0.064,0.117,0.035,0.15,0.048,right_nopunch
1.041,5.675,2.533,5.442,5.98,3.345,0.905,3.881,1.506,right_nopunch
0.067,0.128,0.039,0.248,0.194,0.553,0.182,0.943,0.455,right_nopunch
0.027,0.044,0.018,0.144,0.097,0.22,0.035,0.253,0.073,right_nopunch
1.044,5.447,2.53,4.862,5.648,3.291,1.161,4.299,2.4,right_nopunch
0.086,0.108,0.066,0.249,0.13,0.367,0.09,0.275,0.099,right_nopunch
0.052,0.038,0.029,1.487,1.098,1.013,0.179,1.42,0.515,right_nopunch
0.53,2.745,2.004,4.59,4.845,3.356,1.12,3.434,1.862,right_nopunch
0.301,2.316,0.627,0.106,0.089,0.107,0.028,0.078,0.036,right_nopunch
0.075,0.071,0.018,5.0,6.44,4.722,1.143,3.828,2.12,right_nopunch
0.975,5.402,2.536,0.263,0.461,0.563,0.157,0.835,0.307,right_nopunch
0.201,0.17,0.115,1.669,1.02,1.1,0.15,1.519,0.509,right_nopunch
0.015,0.035,0.015,4.688,4.653,3.535,0.883,3.082,1.932,right_nopunch
0.713,4.952,2.565,0.096,0.09,0.112,0.054,0.066,0.038,right_nopunch
0.259,0.365,0.128,4.798,5.804,3.064,0.813,2.499,1.803,right_nopunch
0.019,0.06,0.022,0.414,0.473,0.887,0.21,1.996,0.76,right_nopunch
0.814,4.685,2.755,0.176,0.135,0.206,0.075,0.312,0.1,right_nopunch
0.192,0.937,0.396,4.526,5.786,3.405,0.846,4.192,1.977,right_nopunch
0.031,0.061,0.021,0.139,0.146,0.21,0.085,0.067,0.079,right_nopunch
0.685,4.67,2.681,5.724,5.178,2.597,0.704,2.251,1.525,right_nopunch
0.215,1.081,0.408,0.272,1.239,0.815,0.44,2.046,0.892,right_nopunch
0.049,0.044,0.035,0.186,0.13,0.105,0.062,0.228,0.053,right_nopunch
0.497,3.055,1.616,4.81,5.825,3.266,1.013,4.437,2.148,right_nopunch
0.729,2.986,1.122,0.179,0.182,0.364,0.155,0.19,0.197,right_nopunch
0.042,0.048,0.025,1.589,0.969,1.123,0.199,1.53,0.464,right_nopunch
0.906,5.193,2.389,4.83,5.375,3.032,1.041,2.701,2.211,right_nopunch
0.184,0.16,0.103,0.13,0.089,0.113,0.056,0.135,0.077,right_nopunch
0.578,3.148,2.307,4.952,6.395,3.893,0.907,3.384,2.282,right_nopunch
0.319,2.146,0.633,0.479,0.356,0.871,0.214,0.911,0.472,right_nopunch
0.022,0.03,0.02,1.964,1.534,1.181,0.867,2.311,1.019,right_nopunch
1.018,5.381,2.419,2.807,3.783,3.118,0.553,2.327,1.639,right_nopunch
0.137,0.206,0.066,0.143,0.094,0.112,0.042,0.09,0.06,right_nopunch
0.018,0.038,0.015,5.934,5.993,4.779,0.944,3.809,2.593,right_nopunch
0.074,0.241,0.107,0.243,0.19,0.77,0.148,0.521,0.343,right_nopunch
0.925,4.711,2.761,0.178,0.124,0.323,0.054,0.326,0.087,right_nopunch
0.056,0.097,0.041,5.649,4.769,3.894,0.903,4.313,2.66,right_nopunch
0.087,0.527,0.116,0.148,0.295,0.318,0.135,0.126,0.131,right_nopunch
1.012,4.86,2.654,0.732,0.623,1.174,0.089,0.828,0.267,right_nopunch
0.065,0.072,0.055,5.155,5.499,3.744,1.073,3.991,2.093,right_nopunch
0.053,0.183,0.076,0.153,0.12,0.202,0.059,0.081,0.067,right_nopunch
0.831,5.094,2.479,0.312,0.204,0.472,0.113,0.434,0.146,right_nopunch
0.057,0.087,0.078,4.297,6.6,4.273,1.042,4.661,2.399,right_nopunch
0.247,1.241,0.46,0.132,0.153,0.146,0.1,0.074,0.058,right_nopunch
1.035,4.444,2.383,0.49,0.317,0.403,0.134,0.417,0.131,right_nopunch
0.063,0.068,0.027,5.367,5.347,3.468,1.281,3.899,2.544,right_nopunch
0.732,2.746,1.465,0.214,0.191,0.356,0.132,0.135,0.109,right_nopunch
0.737,2.756,1.287,4.186,5.589,3.677,0.953,2.954,1.671,right_nopunch
0.019,0.057,0.024,0.789,0.955,1.345,0.458,1.894,1.012,right_nopunch
0.537,2.787,1.794,0.138,0.089,0.139,0.058,0.129,0.057,right_nopunch
0.476,2.687,1.161,4.757,6.404,3.874,0.928,4.125,2.441,right_nopunch
0.027,0.043,0.022,0.199,0.255,0.44,0.175,0.339,0.272,right_nopunch
0.06,0.033,0.045,3.417,4.566,2.223,0.693,2.101,1.378,right_nopunch
1.056,5.773,2.322,1.866,2.824,2.416,0.683,2.429,1.344,right_nopunch
0.175,0.088,0.073,0.221,0.175,0.269,0.048,0.313,0.131,right_nopunch
0.029,0.043,0.017,4.798,5.156,3.549,1.068,4.816,2.585,right_nopunch
0.972,5.361,2.495,0.392,0.34,0.471,0.198,0.187,0.164,right_nopunch
0.108,0.328,0.223,5.012,6.069,3.811,1.137,3.684,2.498,right_nopunch
0.034,0.041,0.023,0.498,0.26,0.621,0.255,0.755,0.528,right_nopunch
0.149,1.72,0.641,0.79,0.586,0.957,0.067,0.724,0.32,right_nopunch
0.826,3.643,2.118,4.978,5.297,3.636,1.041,4.068,2.786,right_nopunch
1.029,0.957,0.303,0.138,0.106,0.257,0.075,0.119,0.051,right_nopunch
1.263,5.554,2.036,5.798,5.3,3.454,0.992,3.475,1.739,right_nopunch
0.167,0.541,0.309,0.342,0.306,0.775,0.231,1.567,0.679,right_nopunch
0.063,0.043,0.102,4.334,6.437,4.196,1.033,3.573,2.157,right_nopunch
