X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.439,0.137,0.519,0.503,0.179,0.251,6.511,5.811,4.258,left_nopunch
0.432,0.302,0.409,0.195,0.104,0.147,0.294,0.287,0.328,left_nopunch
0.443,0.241,0.443,0.371,0.136,0.192,0.344,0.427,0.722,left_nopunch
0.405,0.374,0.515,0.341,0.139,0.094,9.799,7.647,5.167,left_nopunch
0.548,0.505,0.383,0.711,0.211,0.39,0.14,0.084,0.169,left_nopunch
0.674,0.271,0.6,0.263,0.177,0.229,1.426,1.118,1.406,left_nopunch
0.631,0.279,0.567,0.566,0.193,0.348,6.596,6.269,4.53,left_nopunch
0.583,0.532,0.475,0.303,0.256,0.253,0.128,0.064,0.132,left_nopunch
0.519,0.302,0.409,0.573,0.21,0.32,3.269,3.805,3.176,left_nopunch
0.652,0.343,0.742,0.137,0.16,0.153,4.28,2.237,2.137,left_nopunch
0.52,0.335,0.505,0.413,0.237,0.203,0.196,0.132,0.264,left_nopunch
0.299,0.352,0.315,0.277,0.117,0.175,6.731,6.043,5.147,left_nopunch
0.342,0.361,0.32,0.502,0.204,0.322,0.16,0.181,0.274,left_nopunch
0.721,0.505,0.515,0.156,0.152,0.207,0.079,0.062,0.094,left_nopunch
0.34,0.493,0.384,0.389,0.168,0.205,7.887,6.195,4.943,left_nopunch
0.696,0.489,0.688,0.553,0.225,0.448,0.267,0.503,0.584,left_nopunch
0.907,0.438,0.686,0.646,0.225,0.439,0.07,0.04,0.069,left_nopunch
0.721,0.402,0.74,0.257,0.204,0.132,5.98,4.852,4.835,left_nopunch
0.68,0.236,0.436,0.371,0.103,0.221,1.625,1.443,1.191,left_nopunch
0.741,0.384,0.483,0.421,0.226,0.27,0.182,0.09,0.169,left_nopunch
0.469,0.214,0.688,0.294,0.13,0.161,0.084,0.056,0.11,left_nopunch
0.515,0.217,0.361,0.28,0.15,0.205,7.698,6.192,4.765,left_nopunch
0.508,0.226,0.483,0.251,0.135,0.15,0.191,0.168,0.255,left_nopunch
0.46,0.304,0.442,0.236,0.163,0.158,0.08,0.038,0.07,left_nopunch
0.401,0.235,0.364,0.37,0.19,0.228,0.133,0.139,0.244,left_nopunch
0.502,0.181,0.478,0.242,0.204,0.165,7.667,7.527,6.563,left_nopunch
0.452,0.23,0.462,0.382,0.154,0.281,0.122,0.091,0.138,left_nopunch
0.426,0.3,0.612,0.169,0.157,0.091,0.086,0.074,0.084,left_nopunch
0.277,0.128,0.271,0.362,0.113,0.18,7.948,7.315,5.073,left_nopunch
0.453,0.168,0.427,0.187,0.161,0.17,0.155,0.131,0.24,left_nopunch
0.281,0.403,0.431,0.321,0.12,0.169,0.083,0.069,0.074,left_nopunch
0.539,0.306,0.392,0.327,0.232,0.189,7.372,6.58,4.292,left_nopunch
0.307,0.357,0.313,0.394,0.185,0.291,0.144,0.148,0.143,left_nopunch
0.354,0.142,0.304,0.118,0.092,0.132,0.068,0.051,0.076,left_nopunch
0.335,0.353,0.539,0.447,0.175,0.206,8.626,6.818,4.122,left_nopunch
0.39,0.437,0.406,0.185,0.115,0.115,0.134,0.113,0.208,left_nopunch
0.568,0.412,0.381,0.487,0.152,0.245,0.07,0.055,0.074,left_nopunch
0.747,0.453,0.64,0.353,0.212,0.273,7.167,6.381,4.824,left_nopunch
0.47,0.467,0.378,0.411,0.181,0.22,0.127,0.077,0.152,left_nopunch
0.457,0.277,0.508,0.274,0.157,0.172,0.087,0.053,0.07,left_nopunch
0.435,0.301,0.439,0.203,0.143,0.179,6.99,6.567,3.766,left_nopunch
0.808,0.402,0.591,0.37,0.253,0.303,0.128,0.109,0.239,left_nopunch
0.369,0.651,0.482,0.259,0.134,0.113,0.09,0.051,0.08,left_nopunch
0.523,0.307,0.451,0.374,0.096,0.276,6.311,5.764,3.995,left_nopunch
0.415,0.299,0.556,0.265,0.168,0.167,1.153,1.489,0.891,left_nopunch
0.564,0.508,0.363,0.553,0.196,0.26,0.083,0.041,0.088,left_nopunch
0.263,0.597,0.392,0.476,0.222,0.284,7.52,6.724,3.793,left_nopunch
0.573,0.411,0.75,0.69,0.292,0.407,0.24,0.49,0.305,left_nopunch
0.636,0.308,0.511,0.191,0.137,0.201,0.077,0.062,0.078,left_nopunch
0.742,0.299,0.89,0.587,0.195,0.327,8.448,7.268,4.607,left_nopunch
0.396,0.495,0.296,0.234,0.129,0.104,0.269,0.465,0.718,left_nopunch
0.519,0.314,0.656,0.674,0.195,0.284,0.102,0.052,0.135,left_nopunch
0.699,0.508,0.712,0.433,0.223,0.208,7.3,6.595,4.074,left_nopunch
0.374,0.281,0.551,0.703,0.244,0.357,0.575,0.762,0.69,left_nopunch
0.444,0.409,0.214,0.347,0.124,0.238,0.077,0.047,0.116,left_nopunch
0.49,0.493,0.458,0.733,0.26,0.484,7.371,6.326,4.814,left_nopunch
0.924,0.499,0.932,0.628,0.279,0.289,0.608,0.784,0.74,left_nopunch
