X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
5.656,6.788,9.759,1.799,1.354,2.578,5.085,4.881,4.065,jab
2.642,7.111,2.557,1.799,1.515,1.297,4.84,8.399,7.548,jab
1.885,1.757,2.161,0.695,1.136,1.647,3.984,6.199,3.927,jab
5.575,13.072,11.193,3.2,2.001,2.194,4.759,9.639,11.647,jab
3.181,3.542,2.594,0.938,1.368,1.62,2.321,6.713,3.852,jab
4.228,9.273,8.002,2.202,1.601,2.185,4.308,9.751,9.781,jab
4.693,3.545,2.333,1.33,1.413,1.879,2.255,3.891,1.355,jab
4.332,8.348,6.675,1.955,1.416,2.417,3.475,11.516,13.735,jab
3.18,3.555,3.821,1.149,1.213,1.753,4.02,6.206,6.04,jab
2.567,8.583,6.939,2.556,1.588,1.747,3.793,7.977,6.534,jab
2.457,1.962,1.758,0.93,0.879,1.784,2.924,6.387,5.672,jab
6.597,13.466,10.786,3.4,1.516,2.303,2.574,8.26,7.285,jab
1.456,1.859,1.834,0.713,0.65,1.429,3.037,6.368,5.746,jab
4.294,13.027,10.798,3.504,2.537,1.412,4.277,10.187,9.321,jab
1.204,0.904,0.684,0.56,0.756,0.822,2.663,5.747,4.919,jab
5.943,15.935,11.245,4.125,2.132,2.728,3.396,8.991,9.231,jab
2.314,1.777,2.191,0.786,0.832,1.472,1.525,1.426,1.259,jab
5.985,11.62,7.902,3.216,2.208,2.49,5.074,12.823,12.015,jab
0.889,1.577,1.916,0.639,0.533,1.244,2.176,1.746,1.684,jab
5.91,12.926,8.239,3.26,1.961,2.715,7.796,14.391,13.77,jab
1.256,1.278,1.222,0.554,0.75,0.776,1.579,1.772,1.189,jab
5.592,12.136,8.984,3.312,1.704,2.84,4.527,13.215,13.8,jab
1.186,1.61,0.752,0.825,0.625,0.944,2.949,2.584,1.221,jab
4.786,11.826,7.941,3.166,2.203,2.726,5.303,12.367,13.312,jab
1.579,1.43,1.932,0.738,0.673,1.535,2.637,5.58,1.451,jab
6.023,11.709,10.992,3.733,1.764,2.199,5.099,10.508,13.056,jab
1.14,1.485,0.635,0.638,0.769,0.782,2.461,5.071,1.944,jab
4.545,13.588,10.515,3.283,2.436,2.416,5.426,9.554,11.554,jab
1.659,0.912,0.701,0.582,0.77,0.766,2.729,4.868,0.995,jab
4.969,10.754,10.211,3.186,1.552,2.982,3.857,10.187,13.015,jab
1.115,0.895,1.038,0.78,0.677,0.876,1.389,1.257,0.85,jab
5.613,14.181,10.117,3.697,1.61,2.734,4.085,13.068,13.434,jab
1.776,1.13,1.316,0.811,0.823,1.27,2.842,6.121,3.361,jab
5.377,11.36,8.441,3.197,1.266,2.384,4.672,9.28,11.042,jab
1.212,0.962,0.579,0.253,0.342,0.502,1.224,0.864,0.902,jab
5.049,14.148,12.168,4.532,1.849,2.568,3.698,14.342,12.588,jab
1.28,0.829,1.88,0.538,0.766,1.157,1.007,1.171,0.473,jab
4.819,12.803,11.764,4.264,2.019,2.325,6.597,14.491,13.533,jab
1.104,0.733,0.757,0.279,0.678,0.54,1.895,1.964,1.064,jab
5.022,14.169,12.547,3.912,2.715,2.714,5.66,16.758,15.182,jab
1.084,1.244,0.617,0.198,0.632,0.689,2.077,4.204,1.498,jab
5.403,14.44,13.22,4.884,1.978,3.237,3.438,12.553,13.438,jab
1.014,0.869,0.549,0.194,0.47,0.562,3.587,6.75,7.224,jab
4.767,13.878,9.927,3.832,2.089,2.984,3.058,8.434,5.69,jab
1.193,1.061,0.956,0.467,0.581,0.914,0.803,1.119,0.757,jab
5.054,13.522,9.971,3.796,2.008,3.229,4.28,13.22,11.119,jab
