"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.876801213E0,-6.072378159E-2,1.142311096E-2,1.225197315E-1
4.896673401E0,4.006385803E-3,1.418285370E-1,-3.307580948E-3
4.916592151E0,1.076402664E-1,1.652994156E-1,-3.849148750E-2
4.936464755E0,1.456806660E-1,1.153573990E-1,3.887391090E-2
4.956372359E0,7.058954239E-2,5.583763123E-2,9.470963478E-2
4.976262359E0,4.901051521E-2,-4.103183746E-2,1.253490448E-1
4.996154130E0,1.467657089E-2,-1.627063751E-2,1.443214417E-1
5.016062828E0,3.569412231E-2,2.479267120E-2,8.231639862E-2
5.035952984E0,-8.184909821E-4,1.327762604E-1,1.195623875E-1
5.055803765E0,1.940383911E-1,6.553173065E-2,3.843142986E-1
5.075719390E0,8.164525032E-1,-2.696971893E-1,1.008941650E0
5.095620171E0,1.653440237E0,-4.333734512E-1,1.416106462E0
5.115500744E0,2.162232161E0,-5.831413269E-1,1.129472494E0
5.135389338E0,1.994607687E0,-9.914455414E-1,6.589939594E-1
5.155273609E0,1.587339878E0,-1.974771976E0,1.363008022E-1
5.175210640E0,1.273791075E0,-3.377446651E0,-6.113471985E-1
5.195050796E0,8.553421497E-1,-4.929588318E0,-1.409965515E0
5.214976109E0,2.053806782E-1,-6.218019485E0,-2.302175045E0
5.234826838E0,-1.118386030E0,-6.847309113E0,-2.878495216E0
5.254741005E0,-3.090246677E0,-6.840218544E0,-2.549870253E0
5.274638609E0,-5.089643478E0,-6.870260239E0,-1.696189404E0
5.294533609E0,-6.665942669E0,-7.215859890E0,-8.012049198E-1
5.314401057E0,-7.052158356E0,-7.530781746E0,2.056608200E-1
5.334319234E0,-7.499630451E0,-7.581565857E0,1.506643176E0
5.354251890E0,-8.909240723E0,-6.946857452E0,2.982073069E0
5.374088661E0,-1.000364017E1,-5.265597343E0,3.954778671E0
5.393993817E0,-1.019433117E1,-2.724688292E0,4.405540943E0
5.413852411E0,-1.024267769E1,2.953408718E0,4.125743389E0
5.433764703E0,-1.025531101E1,1.038191700E1,2.498662472E0
5.453652307E0,-8.243698120E0,1.771034813E1,1.749013901E0
5.473546161E0,-1.007718682E0,2.831220627E1,-1.497472763E0
5.493457567E0,1.217304039E1,3.798327255E1,-2.377309418E1
5.513335276E0,1.369243240E1,3.690930557E1,-5.661309814E1
5.533239755E0,1.282034636E0,2.720327377E1,-6.884599304E1
5.553108869E0,-1.346828461E0,1.006200409E1,-6.889636993E1
5.572989703E0,8.511577606E0,-4.984691143E0,-6.594388580E1
5.592876682E0,1.765113068E1,-1.479519844E1,-5.514997482E1
5.612795380E0,1.982115173E1,-2.976784706E1,-4.713230896E1
5.632658661E0,1.340896511E1,-4.219880295E1,-3.857743073E1
5.652546786E0,1.743938923E0,-4.193659210E1,-2.799903679E1
5.672448244E0,2.849665880E0,-4.320522308E1,-2.130174255E1
5.692363661E0,7.981956959E0,-4.242553329E1,-1.844923782E1
5.712254546E0,6.608810425E0,-3.598489380E1,-1.312970066E1
5.732124651E0,1.784024358E0,-2.886948013E1,-8.113905907E0
5.752020953E0,-8.975018859E-1,-2.314068222E1,-6.403694153E0
5.771896578E0,-1.436482668E0,-1.898971939E1,-5.071787834E0
5.791802567E0,-8.307057023E-1,-1.517285538E1,-4.104718208E0
5.811684130E0,-1.128571272E0,-1.168867493E1,-2.932323456E0
5.831595067E0,-2.532685995E0,-7.837197304E0,-1.445832968E0
5.851455119E0,-1.378566027E0,-5.043114662E0,6.494927406E-1
5.871364651E0,1.824462712E-1,-3.383036613E0,1.798792839E0
5.891245588E0,-5.328813791E-1,-1.324850082E0,1.575015545E0
5.911228296E0,-9.490678310E-1,2.156557083E0,1.053577423E0
5.931021630E0,5.305700302E-1,3.020686150E0,2.278331757E0
5.950941421E0,3.600104451E-1,2.254493713E0,3.103489876E0
5.970804494E0,-1.432626247E0,2.881217003E0,1.450537682E0
5.990700953E0,-2.222899437E0,3.367296219E0,1.566111565E0
6.010581265E0,-2.320236444E0,1.833065033E0,3.602445602E0
6.030478244E0,-3.633896589E0,9.282245636E-1,3.440857410E0
6.050366473E0,-3.646148920E0,1.002453804E0,1.146784544E0
6.070277046E0,-2.611863136E0,5.391902924E-1,-9.401559830E-3
6.090141890E0,-1.734968424E0,3.692741394E-1,1.869368553E-1
6.110032411E0,-1.433504939E0,5.667762756E-1,-5.100612640E-1
6.129929703E0,-1.266926765E0,7.240200043E-1,-1.171435356E0
6.149828505E0,-7.705280781E-1,8.988218307E-1,8.068013191E-2
6.169708661E0,-4.963560104E-1,1.270588875E0,1.504013777E0
6.189595171E0,-7.857469320E-1,1.466696739E0,1.219899893E0
6.209496161E0,-1.024671435E0,1.514143944E0,6.310434341E-1
6.229398192E0,-1.124921441E0,1.687774658E0,6.521811485E-1
6.249308973E0,-1.108346462E0,1.713875771E0,7.305111885E-1
6.269193192E0,-1.098409295E0,1.526927948E0,7.606379986E-1
