X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
11.157,11.885,3.677,1.411,3.849,1.755,1012.955475,cross
13.464,6.958,5.754,1.52,4.279,3.036,1012.955475,cross
11.365,13.891,6.264,1.581,4.033,2.684,1012.94754,cross
10.734,12.212,3.787,1.173,4.524,2.377,1012.941971,cross
9.901,13.224,4.379,0.979,3.362,2.432,1012.94136,cross
10.563,11.525,5.446,1.31,4.261,2.995,1012.938385,cross
10.393,12.1,5.028,1.083,3.838,2.397,1012.934265,cross
12.767,12.464,4.78,1.078,3.511,2.458,1012.932892,cross
10.745,12.857,4.04,1.255,3.309,2.406,1012.934265,cross
8.797,11.742,3.197,0.824,2.599,3.037,1012.944565,cross
10.75,10.052,4.13,1.235,3.232,2.858,1012.946854,cross
10.583,8.993,4.337,1.202,3.694,2.476,1012.948074,cross
9.162,9.728,4.692,1.367,2.111,2.124,1012.949829,cross
9.288,3.616,1.911,0.476,0.767,1.036,1012.950211,cross
9.537,3.779,1.92,0.681,1.089,0.853,1012.950211,cross
7.752,4.837,1.322,0.738,1.19,0.631,1012.947922,cross
14.024,12.489,6.489,1.949,5.885,3.095,1012.947922,cross
11.075,16.746,7.119,1.561,4.698,2.905,1012.957306,cross
11.525,16.681,7.367,1.386,6.197,3.479,1012.959213,cross
10.536,11.734,6.254,1.832,4.311,3.487,1012.957306,cross
10.94,13.65,6.07,1.085,5.356,1.782,1012.952957,cross
11.39,14.283,5.092,1.417,5.404,2.282,1012.942581,cross
12.068,13.356,3.912,1.412,3.483,2.871,1012.942581,cross
10.68,3.325,2.648,0.786,1.351,1.34,1012.939072,cross
9.284,8.587,1.754,0.849,2.217,1.006,1012.941742,cross
10.692,9.51,4.906,1.297,1.763,2.021,1012.941742,cross
9.263,2.981,1.077,0.386,0.254,0.398,1012.943039,cross
8.894,5.353,2.717,0.473,1.038,0.66,1012.943268,cross
12.534,11.048,4.807,1.601,4.153,3.601,1012.943497,cross
13.739,14.124,5.887,1.698,3.958,2.728,1012.947693,cross
8.196,12.575,3.033,1.438,3.938,2.777,1012.947922,cross
11.585,9.202,4.953,1.474,2.166,2.106,1012.951889,cross
9.539,10.413,4.794,1.217,3.207,3.279,1012.95311,cross
12.268,14.438,4.771,1.636,4.685,3.342,1012.95311,cross
13.512,13.839,6.295,1.728,5.013,3.101,1012.953568,cross
14.39,14.358,5.893,1.623,3.998,2.792,1012.953568,cross
10.833,12.998,5.458,2.18,4.617,3.15,1012.950897,cross
11.736,12.511,4.328,1.057,4.043,2.287,1012.949829,cross
10.719,15.6,6.459,1.146,5.405,2.179,1012.949829,cross
9.837,4.722,4.935,1.078,1.313,1.276,1012.948151,cross
8.988,4.46,1.647,0.737,0.748,0.387,1012.948151,cross
7.474,8.817,1.329,0.581,1.946,1.024,1012.947006,cross
11.046,9.303,5.505,1.256,3.429,2.473,1012.948074,cross
5.159,9.191,7.237,1.013,2.38,1.617,1012.9274419175626,cross
6.322,3.812,6.256,0.436,0.594,0.386,1012.9274419175626,cross
8.574,3.577,3.226,0.253,0.235,0.123,1012.9274419175626,cross
9.926,2.932,1.94,0.199,0.49,0.407,1012.9274419175626,cross
8.092,4.699,1.444,0.386,1.103,0.649,1012.9274419175626,cross
10.9,13.45,4.02,1.441,4.514,2.973,1012.9274419175626,cross
9.693,11.634,2.96,1.391,3.599,2.309,1012.9274419175626,cross
10.928,10.622,4.952,1.237,4.029,2.346,1012.9274419175626,cross
12.175,11.402,4.776,1.128,3.459,2.562,1012.9274419175626,cross
13.813,11.814,5.195,0.947,3.043,2.821,1012.9274419175626,cross
11.212,12.515,4.894,0.975,2.939,2.641,1012.9274419175626,cross
10.709,3.352,1.519,0.621,0.615,1.088,1012.9274419175626,cross
9.342,3.194,0.842,0.351,0.394,0.308,1012.9274419175626,cross
9.318,3.461,2.59,0.612,0.764,1.368,1012.9274419175626,cross
10.436,11.552,5.706,1.137,3.725,2.408,1012.9274419175626,cross
8.988,12.781,5.582,0.938,3.021,2.169,1012.9274419175626,cross
9.802,13.427,6.284,0.856,3.256,2.246,1012.9274419175626,cross
10.666,14.018,5.488,1.027,3.698,2.677,1012.9274419175626,cross
10.143,13.389,6.017,0.79,3.033,2.237,1012.9274419175626,cross
12.279,13.465,6.075,1.25,3.691,2.446,1012.9274419175626,cross
7.412,12.693,4.174,0.863,3.172,2.02,1012.9274419175626,cross
9.4,13.402,4.653,1.272,3.341,2.358,1012.9274419175626,cross
11.218,3.843,3.194,0.862,1.698,1.543,1012.9274419175626,cross
