X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
7.19,2.741,3.271,0.587,1.215,0.827,1010.500488,lu
5.89,13.239,19.947,4.284,2.602,1.539,1010.501709,lu
7.732,13.439,20.172,4.514,2.445,1.812,1010.506363,lu
5.839,10.328,15.292,4.19,2.031,1.33,1010.513687,lu
5.941,6.9,6.992,0.904,1.133,0.809,1010.524445,lu
7.246,4.758,5.072,0.167,0.276,0.234,1010.530167,lu
7.469,5.197,3.416,0.171,0.284,0.177,1010.537949,lu
7.193,5.131,4.261,0.334,0.372,0.424,1010.540695,lu
6.748,11.668,14.598,3.294,2.272,1.469,1010.540695,lu
5.748,6.6,7.117,1.434,1.879,0.871,1010.538559,lu
6.279,13.99,21.086,4.335,3.009,1.902,1010.533218,lu
5.751,10.621,14.8,3.155,2.316,1.895,1010.527115,lu
4.789,6.364,10.446,1.708,1.545,0.89,1010.524826,lu
7.704,2.57,5.71,0.277,0.423,0.284,1010.520401,lu
7.841,2.439,5.119,0.245,0.368,0.277,1010.520401,lu
7.402,3.22,5.321,0.28,0.308,0.288,1010.526581,lu
8.014,2.374,4.668,0.582,0.165,0.375,1010.534973,lu
7.534,3.902,5.043,0.221,0.435,0.357,1010.534973,lu
6.422,14.307,20.798,4.066,2.898,1.982,1010.530319,lu
5.259,15.788,20.627,4.129,2.938,1.936,1010.530319,lu
5.122,5.655,6.356,0.411,1.909,0.586,1010.531998,lu
5.655,15.858,21.317,4.401,2.38,1.655,1010.532608,lu
5.395,11.85,15.59,3.963,3.409,1.664,1010.533829,lu
4.814,11.116,14.009,3.561,3.15,1.587,1010.53772,lu
5.844,4.961,8.724,0.803,1.145,0.603,1010.53772,lu
5.696,2.628,7.498,0.156,0.169,0.149,1010.534286,lu
6.031,3.0,6.791,0.305,0.476,0.314,1010.53299,lu
6.811,4.6,9.306,0.724,2.419,1.962,1010.529251,lu
7.613,14.726,20.475,4.44,3.021,1.96,1010.529251,lu
7.133,12.478,19.085,4.611,3.007,1.782,1010.529251,lu
5.693,13.043,18.144,4.195,2.189,1.849,1010.532379,lu
7.098,14.528,20.818,4.224,3.233,2.6,1010.537415,lu
6.771,14.006,16.797,3.601,3.656,1.618,1010.540695,lu
7.38,5.221,3.938,0.582,0.691,0.385,1010.540695,lu
5.916,12.295,15.86,3.52,2.716,2.067,1010.540695,lu
6.507,14.329,19.389,4.146,4.091,1.889,1010.531616,lu
5.947,12.39,18.103,4.068,3.61,1.742,1010.522537,lu
