,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
4420,2.726,1.39,2.162,5.171,7.763,7.395,righthook
4421,0.291,0.187,0.366,0.546,0.539,0.776,rightnopunch
4422,0.128,0.053,0.055,0.146,0.318,0.147,rightuppercut
4423,0.267,2.298,0.961,2.141,1.542,1.053,jab
4424,2.754,4.871,2.825,7.1,12.682,10.174,jab
4425,0.381,0.291,0.396,1.896,1.868,1.281,leftnopunch
4426,0.707,1.297,0.935,2.548,2.205,1.131,righthook
4427,2.271,1.489,1.16,3.623,8.526,4.809,rightuppercut
4428,0.727,0.265,0.354,0.608,1.304,2.615,righthook
4429,1.528,3.268,2.211,2.103,6.292,3.1,jab
4430,0.129,0.042,0.124,0.129,0.241,0.128,lefthook
4431,0.968,2.367,0.885,4.678,2.817,2.877,jab
4432,0.795,1.845,2.311,3.094,7.791,2.256,cross
4433,0.183,0.154,0.35,0.236,0.269,0.529,leftnopunch
4434,0.503,0.357,0.391,0.596,0.86,0.44,leftnopunch
4435,1.761,2.105,4.078,17.518,15.832,11.296,lefthook
4436,0.065,0.07,0.036,0.14,0.105,0.115,cross
4437,0.49,0.972,0.385,2.234,2.224,3.119,jab
4438,0.538,1.081,0.849,1.151,0.906,1.04,jab
4439,0.076,0.054,0.029,0.169,0.089,0.209,cross
4440,0.86,1.114,0.59,1.66,3.18,2.436,jab
4441,1.403,1.247,2.014,10.13,4.976,3.764,lefthook
4442,3.176,2.136,2.464,9.876,18.859,10.782,rightuppercut
4443,0.044,0.062,0.044,0.079,0.07,0.11,jab
4444,0.685,1.069,0.504,5.234,4.094,2.557,cross
4445,0.357,0.556,0.495,3.323,3.246,1.384,cross
4446,1.296,0.748,0.861,2.243,6.928,3.49,lefthook
4447,2.206,1.432,2.239,5.307,8.36,10.344,righthook
4448,0.537,0.48,0.26,1.053,0.996,0.47,cross
4449,0.042,0.052,0.091,0.13,0.249,0.107,leftuppercut
4450,0.305,0.931,0.551,2.056,0.704,1.001,rightuppercut
4451,1.956,2.172,3.563,14.528,12.042,11.693,lefthook
4452,0.683,3.804,2.964,2.2,10.319,3.257,cross
4453,0.082,0.082,0.065,0.161,0.181,0.132,righthook
4454,1.164,3.305,3.168,14.601,14.413,7.75,cross
4455,0.147,1.071,0.566,1.291,0.684,1.243,rightuppercut
4456,0.075,0.422,0.141,0.173,0.196,0.344,jab
4457,2.736,2.651,1.703,4.163,10.726,11.098,rightuppercut
4458,0.965,0.132,0.265,0.235,0.5,1.102,rightuppercut
4459,2.79,2.501,3.756,16.092,15.115,12.884,lefthook
4460,0.316,0.709,0.584,0.955,1.035,0.633,jab
4461,0.187,0.149,0.099,0.412,0.265,0.573,leftnopunch
4462,0.615,1.264,0.561,3.95,4.688,3.097,cross
4463,0.38,0.29,0.526,0.935,0.585,0.605,rightnopunch
4464,0.907,1.672,2.331,2.684,8.879,1.963,cross
4465,1.0,1.165,0.591,1.691,3.992,1.07,leftuppercut
4466,3.719,2.812,2.703,6.2,14.567,12.308,righthook
4467,2.392,2.654,1.63,5.87,8.453,9.45,leftuppercut
4468,0.403,0.258,0.483,0.541,0.44,0.539,rightnopunch
4469,0.104,0.192,0.062,0.215,0.151,0.173,righthook
4470,0.384,1.628,0.458,2.532,2.395,2.809,jab
4471,0.514,0.773,0.487,1.677,1.097,0.804,cross
4472,2.453,1.798,2.296,6.09,7.086,7.78,righthook
4473,0.788,0.876,0.444,2.856,3.621,1.998,lefthook
4474,2.332,1.323,1.235,3.852,6.12,6.44,rightuppercut
4475,1.073,1.128,0.237,1.874,1.738,1.774,lefthook
4476,0.223,0.504,0.365,0.91,0.845,0.402,righthook
4477,0.202,0.327,0.583,2.079,2.686,2.699,rightnopunch
4478,2.213,0.949,2.041,4.854,9.809,9.331,righthook
4479,2.022,3.784,3.19,11.714,12.875,9.178,cross
4480,2.04,1.434,1.268,3.424,5.827,5.465,righthook
4481,0.268,0.187,0.43,0.743,0.526,0.824,rightnopunch
4482,2.243,1.268,1.084,2.282,9.203,5.747,leftuppercut
4483,0.194,0.47,0.562,1.014,0.869,0.549,lefthook
4484,0.052,0.035,0.22,0.125,0.379,0.109,leftuppercut
4485,2.031,1.838,1.306,4.587,7.098,5.978,righthook
4486,0.047,0.048,0.115,0.322,0.163,0.137,rightnopunch
4487,1.975,1.82,4.525,13.755,16.782,11.803,lefthook
4488,0.944,1.78,1.956,3.092,7.529,1.694,cross
4489,1.323,1.126,0.586,1.56,0.974,0.781,righthook
4490,0.494,1.235,1.621,4.98,5.249,3.028,rightuppercut
4491,1.466,2.881,1.771,6.605,7.716,6.303,jab
4492,0.221,0.143,0.221,0.371,0.179,0.465,leftnopunch
4493,0.857,0.852,2.269,7.246,5.277,2.949,righthook
4494,0.534,0.154,0.269,0.759,0.572,0.542,leftnopunch
4495,0.164,1.092,0.552,1.799,0.871,0.985,lefthook
