X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.792,14.144,7.536,1.246,4.166,2.745,1012.947464,jab
10.954,21.116,10.359,2.562,7.347,3.933,1012.947922,jab
9.358,15.494,8.922,1.427,4.124,2.311,1012.949142,jab
10.419,18.02,6.293,1.567,6.039,2.961,1012.95166,jab
11.554,17.806,7.528,1.463,5.82,2.96,1012.95166,jab
6.545,5.006,5.744,0.256,1.177,0.515,1012.94838,jab
8.434,3.777,2.498,0.33,0.357,0.262,1012.944717,jab
8.734,3.941,2.188,0.751,1.181,0.336,1012.944489,jab
8.509,16.074,7.329,1.141,4.806,2.82,1012.944489,jab
9.581,20.015,6.51,1.469,5.851,3.641,1012.947083,jab
6.221,4.839,6.96,0.292,0.7,0.458,1012.952576,jab
7.793,4.089,3.864,0.19,0.488,0.272,1012.952576,jab
9.657,14.475,6.735,1.213,3.949,2.316,1012.952499,jab
9.496,19.494,7.965,1.661,6.127,2.882,1012.948074,jab
8.914,14.118,5.961,1.316,4.602,2.61,1012.942657,jab
9.035,13.912,6.869,1.057,4.272,1.703,1012.937317,jab
8.279,10.17,6.521,0.993,3.83,1.869,1012.933578,jab
8.437,3.338,3.773,0.425,0.365,0.265,1012.933578,jab
8.791,3.252,2.055,0.258,0.267,0.281,1012.935104,jab
7.058,10.158,5.169,1.011,2.96,1.44,1012.94136,jab
7.664,12.155,5.77,0.896,3.208,1.655,1012.94136,jab
7.433,11.442,6.368,0.778,2.737,1.72,1012.94136,jab
9.921,11.121,6.307,1.274,3.91,1.966,1012.940979,jab
7.98,13.124,7.716,1.231,4.539,2.574,1012.938843,jab
6.695,12.893,7.291,1.094,4.393,2.064,1012.935944,jab
8.892,12.479,6.551,1.246,4.741,2.1,1012.935944,jab
8.262,4.646,3.645,0.814,0.9,0.666,1012.935944,jab
8.548,7.311,5.266,0.981,2.492,1.012,1012.936707,jab
13.675,23.382,9.921,2.008,6.511,4.085,1012.937775,jab
8.364,12.476,7.242,1.328,4.047,2.208,1012.943497,jab
8.032,3.825,5.18,0.531,0.347,0.38,1012.943497,jab
7.083,4.26,4.818,0.316,0.314,0.208,1012.942657,jab
7.515,12.887,6.139,0.948,3.571,2.036,1012.942657,jab
9.228,14.076,6.949,1.201,3.272,2.207,1012.944489,jab
6.751,15.847,7.921,0.985,2.77,1.683,1012.946396,jab
7.548,3.716,6.007,0.67,0.781,0.899,1012.946396,jab
8.387,12.687,6.893,1.255,4.275,2.443,1012.964783,jab
8.444,16.93,7.182,1.307,3.451,2.058,1012.964783,jab
7.204,1.972,6.1,0.865,0.62,0.642,1012.959213,jab
7.481,8.201,4.571,0.55,2.658,1.233,1012.959213,jab
9.913,15.728,8.334,1.701,5.629,2.401,1012.958145,jab
6.827,4.948,5.522,0.367,1.469,0.673,1012.934494,jab
7.563,5.219,3.505,0.375,0.774,0.301,1012.930679,jab
7.996,4.723,2.19,0.161,0.419,0.313,1012.930679,jab
9.597,12.091,6.79,1.052,2.558,1.218,1012.930679,jab
8.372,17.06,7.132,1.589,5.967,2.605,1012.929993,jab
10.782,14.644,7.283,1.408,3.65,2.308,1012.929153,jab
8.673,3.038,3.863,1.377,1.808,0.818,1012.929153,jab
10.834,10.476,6.244,0.931,4.578,1.533,1012.925339,jab
8.14,11.345,6.343,0.771,4.202,1.545,1012.922363,jab
9.049,10.86,6.413,0.973,3.858,1.656,1012.922363,jab
9.596,10.983,6.01,1.054,4.024,2.059,1012.923737,jab
8.207,7.603,8.785,1.138,2.942,1.852,1012.924881,jab
5.778,2.267,7.821,0.247,0.315,0.24,1012.924881,jab
5.577,1.702,7.647,0.517,0.67,0.407,1012.928925,jab
8.94,2.529,4.595,0.607,0.8,0.933,1012.928925,jab
8.526,10.589,5.245,0.839,3.787,1.954,1012.929611,jab
9.788,10.617,5.623,0.922,3.914,1.566,1012.929611,jab
8.525,9.4,4.387,0.817,2.834,1.833,1012.930145,jab
7.92,7.655,6.98,0.975,2.496,1.504,1012.930145,jab
8.593,1.668,4.479,0.49,0.408,0.904,1012.930145,jab
7.781,4.067,4.527,0.157,0.235,0.192,1012.935028,jab
6.492,5.402,4.618,0.356,0.371,0.308,1012.935028,jab
5.775,6.223,5.106,0.355,1.185,0.639,1012.934875,jab
2.993,3.008,9.945,0.55,0.797,0.783,1012.934036,jab
2.754,2.888,8.995,0.239,0.726,0.372,1012.932739,jab
6.243,3.134,6.614,0.166,0.56,0.147,1012.930145,jab
7.796,3.809,4.086,0.173,0.46,0.171,1012.926788,jab
4.792,9.763,8.014,0.763,2.395,1.734,1012.924347,jab
6.349,7.302,7.855,0.973,2.257,1.213,1012.922821,jab
6.3,6.044,8.263,0.888,2.068,1.143,1012.922211,jab
8.048,1.104,5.119,0.709,0.876,0.484,1012.921143,jab
8.708,1.858,5.474,0.361,0.442,0.276,1012.920685,jab
7.792,4.458,3.897,0.42,0.592,0.735,1012.920685,jab
8.035,13.24,6.334,1.124,4.421,1.886,1012.920685,jab
8.518,13.842,7.515,1.668,4.918,2.525,1012.920685,jab
7.665,10.12,6.442,1.075,3.6,1.984,1012.920685,jab
5.93,6.757,6.828,0.65,3.006,1.383,1012.920685,jab
9.372,9.463,6.099,0.916,3.208,1.748,1012.920151,jab
9.22,5.15,5.725,0.593,1.42,1.052,1012.920151,jab
8.175,3.117,4.397,0.71,1.097,0.626,1012.922668,jab
8.49,3.728,3.312,0.313,0.443,0.537,1012.92511,jab
8.737,12.08,5.218,1.202,3.506,1.635,1012.92511,jab
8.946,12.393,7.648,1.271,3.813,1.634,1012.921753,jab
9.125,12.886,6.943,1.12,3.838,1.728,1012.92099,jab
4.014,9.377,8.392,0.955,2.302,1.496,1012.920761,jab
6.427,3.011,6.277,0.271,0.736,0.346,1012.920685,jab
5.313,7.866,7.845,0.606,2.453,1.668,1012.920532,jab
4.635,7.998,8.01,0.894,2.745,1.15,1012.920532,jab
7.6,3.58,4.961,0.558,0.687,0.494,1012.92305,jab
7.596,6.736,5.386,1.345,2.44,1.227,1012.923737,jab
6.277,8.296,6.389,0.845,2.289,1.59,1012.923737,jab
6.685,11.945,6.153,1.183,3.494,2.27,1012.924271,jab
8.13,2.21,6.31,0.494,0.956,0.603,1012.924271,jab
7.944,6.038,3.038,0.37,0.67,0.379,1012.924271,jab
5.835,10.037,6.091,0.735,2.713,1.998,1012.919693,jab
5.292,8.412,7.623,0.868,2.484,1.392,1012.918015,jab
8.156,3.771,3.574,0.092,0.294,0.123,1012.915726,jab
7.122,6.405,4.702,0.335,1.3,0.442,1012.915726,jab
6.49,10.478,6.599,1.259,2.692,1.552,1012.915649,jab
6.022,9.275,7.809,1.399,2.592,1.646,1012.915726,jab
5.144,2.756,8.205,0.403,0.727,0.775,1012.918167,jab
7.347,1.377,5.613,1.075,0.58,0.786,1012.922592,jab
6.485,8.786,7.417,1.051,2.179,1.418,1012.923279,jab
5.557,10.47,7.06,0.952,2.981,2.065,1012.923737,jab
